recorded_at,candidate_id,market_id,market_slug,side,status,attempt_stage,time_bucket,elapsed_seconds,remaining_seconds,amount_bucket,order_type,exec_price_mode,signal_fair,signal_edge,signal_spread,limit_price,edge_after_fill_estimate,ml_filter_enabled,ml_predicted_ev,ml_min_ev,ml_passed,ml_reason,fill_probability,fill_prob_min_probability,fill_prob_passed,fill_prob_reason,order_sent,order_accepted,filled,fill_amount_bucket,fill_avg_price,fill_ratio,latency_ms,failure_category
2026-06-04T12:29:16.945379+00:00,candidate_498685179545,market_f888fc6c273b,slug_f888fc6c273b,UP,blocked_fill_prob_filter,fill_prob_filter,240-270,254.375,,lt_10,FAK,market,0.509476,0.259476,0.01,0.26,,True,0.670388,0.5,True,none,0.243294,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T12:29:21.279368+00:00,candidate_ba7355311418,market_f888fc6c273b,slug_f888fc6c273b,UP,blocked_ml_filter,ml_filter,240-270,261.235,,lt_10,FAK,market,0.443965,0.253965,0.01,0.2,,True,0.241335,0.5,False,predicted_ev_below_threshold,0.305949,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T12:29:36.588062+00:00,candidate_0cdb57819016,market_f888fc6c273b,slug_f888fc6c273b,UP,blocked_ml_filter,ml_filter,270-300,276.53,,lt_10,FAK,market,0.628528,0.248528,0.01,0.38,,True,0.409466,0.5,False,predicted_ev_below_threshold,0.242124,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T12:29:39.598143+00:00,candidate_ce0ec9c9961a,market_f888fc6c273b,slug_f888fc6c273b,UP,blocked_ml_filter,ml_filter,270-300,279.54,,lt_10,FAK,market,0.561145,0.241145,0.01,0.32,,True,-0.027829,0.5,False,predicted_ev_below_threshold,0.282033,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T12:32:12.861138+00:00,candidate_566df567996b,market_f7ac9261b782,slug_f7ac9261b782,DOWN,blocked_ml_filter,ml_filter,120-150,132.802,,lt_10,FAK,market,0.276426,0.246426,0.01,0.03,,True,-0.591205,0.5,False,predicted_ev_below_threshold,0.367604,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T13:04:49.043022+00:00,candidate_4e312f8e7848,market_e68c8c4005a7,slug_e68c8c4005a7,DOWN,blocked_ml_filter,ml_filter,270-300,288.986,,lt_10,FAK,market,0.983122,0.313122,0.01,0.69,,True,0.083791,0.5,False,predicted_ev_below_threshold,0.171703,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T13:49:50.327309+00:00,candidate_7ead5c970487,market_3ec410a2e13d,slug_3ec410a2e13d,UP,blocked_fill_prob_filter,fill_prob_filter,270-300,290.255,,lt_10,FAK,market,0.364156,0.284156,0.01,0.1,,True,0.50787,0.5,True,none,0.334539,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T13:49:54.082946+00:00,candidate_c46d89dedeae,market_3ec410a2e13d,slug_3ec410a2e13d,UP,blocked_fill_prob_filter,fill_prob_filter,270-300,294.018,,lt_10,FAK,market,0.423109,0.293109,0.01,0.15,,True,0.687977,0.5,True,none,0.328949,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T13:54:58.213146+00:00,candidate_587f7e541516,market_a40f690a3ca1,slug_a40f690a3ca1,DOWN,blocked_ml_filter,ml_filter,270-300,298.124,,lt_10,FAK,market,0.480112,0.260112,0.01,0.24,,True,0.107163,0.5,False,predicted_ev_below_threshold,0.373407,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T14:04:03.475159+00:00,candidate_2f4d6733d7e8,market_3f8ebcbdde3e,slug_3f8ebcbdde3e,DOWN,blocked_ml_filter,ml_filter,240-270,243.401,,lt_10,FAK,market,0.935153,0.275153,0.01,0.68,,True,0.133432,0.5,False,predicted_ev_below_threshold,0.137427,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T14:13:32.076892+00:00,candidate_dbfcb9f6bfd0,market_ee07318d95bb,slug_ee07318d95bb,DOWN,blocked_fill_prob_filter,fill_prob_filter,210-240,212.017,,lt_10,FAK,market,0.285212,0.255212,0.02,0.04,,True,3.992705,0.5,True,none,0.320719,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T14:24:47.360256+00:00,candidate_a06fc185a80a,market_f0d256fb9f1f,slug_f0d256fb9f1f,UP,blocked_ml_filter,ml_filter,270-300,287.296,,lt_10,FAK,market,0.393414,0.243414,0.01,0.15,,True,-0.415718,0.5,False,predicted_ev_below_threshold,0.486586,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T14:24:58.423065+00:00,candidate_b9a56e53708e,market_f0d256fb9f1f,slug_f0d256fb9f1f,DOWN,blocked_fill_prob_filter,fill_prob_filter,270-300,298.363,,lt_10,FAK,market,0.436823,0.406823,0.02,0.05,,True,5.21217,0.5,True,none,0.17399,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T15:04:31.012021+00:00,candidate_f7031d526b8c,market_56d6da5208a5,slug_56d6da5208a5,UP,blocked_ml_filter,ml_filter,270-300,270.947,,lt_10,FAK,market,0.710412,0.270412,0.01,0.46,,True,0.435484,0.5,False,predicted_ev_below_threshold,0.141016,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T15:04:52.607558+00:00,candidate_4a7e1fdd3747,market_56d6da5208a5,slug_56d6da5208a5,DOWN,blocked_ml_filter,ml_filter,270-300,292.55,,lt_10,FAK,market,0.627236,0.257236,0.01,0.38,,True,-0.194043,0.5,False,predicted_ev_below_threshold,0.323962,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T15:14:36.791840+00:00,candidate_91cb3ff7684c,market_d412a6fbe8d9,slug_d412a6fbe8d9,UP,blocked_ml_filter,ml_filter,270-300,276.718,,lt_10,FAK,market,0.624692,0.254692,0.01,0.38,,True,0.038271,0.5,False,predicted_ev_below_threshold,0.29996,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T15:14:40.674964+00:00,candidate_6aafd5643a1f,market_d412a6fbe8d9,slug_d412a6fbe8d9,UP,blocked_ml_filter,ml_filter,270-300,280.612,,lt_10,FAK,market,0.884564,0.254564,0.01,0.64,,True,0.258134,0.5,False,predicted_ev_below_threshold,0.24212,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T15:29:42.654908+00:00,candidate_b4cef516e7ed,market_a6df10a89d5a,slug_a6df10a89d5a,UP,blocked_ml_filter,ml_filter,270-300,282.596,,lt_10,FAK,market,0.796117,0.246117,0.01,0.55,,True,0.229065,0.5,False,predicted_ev_below_threshold,0.32543,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T15:36:29.441094+00:00,candidate_616e63b5e8af,market_b211cbcef019,slug_b211cbcef019,DOWN,blocked_ml_filter,ml_filter,60-90,89.38,,lt_10,FAK,market,0.634218,0.244218,0.01,0.39,,True,-0.070521,0.5,False,predicted_ev_below_threshold,0.147443,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T15:38:47.706909+00:00,candidate_ba0a7a089336,market_b211cbcef019,slug_b211cbcef019,DOWN,blocked_ml_filter,ml_filter,210-240,227.639,,lt_10,FAK,market,0.970266,0.240266,0.01,0.73,,True,-0.064823,0.5,False,predicted_ev_below_threshold,0.260815,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T15:39:36.161035+00:00,candidate_8e4b2dda66a9,market_b211cbcef019,slug_b211cbcef019,DOWN,blocked_ml_filter,ml_filter,270-300,276.102,,lt_10,FAK,market,0.748951,0.248951,0.01,0.5,,True,0.362815,0.5,False,predicted_ev_below_threshold,0.280261,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
2026-06-04T15:43:05.285178+00:00,candidate_f67d87b5a9df,market_7d490d812755,slug_7d490d812755,UP,blocked_fill_prob_filter,fill_prob_filter,180-210,185.204,,lt_10,FAK,market,0.465453,0.275453,0.02,0.21,,True,0.895011,0.5,True,none,0.102784,0.75,False,predicted_ev_below_threshold,False,False,False,unknown,,,,other
