recorded_at,market_id,market_slug,side,rejection_stage,rejection_reason_category,time_bucket,remaining_seconds,signal_fair,signal_edge,signal_spread,tau_seconds,z
2026-05-06T07:48:40.766889+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,other,,,0.656432,0.226432,0.01,79.234,-0.402746
2026-05-06T07:48:48.022653+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,other,,,0.753513,0.263513,0.01,71.978,-0.685587
2026-05-06T07:48:54.028635+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,other,,,0.763038,0.283038,0.01,65.973,-0.71611
2026-05-06T07:48:57.029521+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,other,,,0.923726,0.443726,0.01,62.973,-1.430587
2026-05-06T07:49:00.045083+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,other,,,0.852713,0.282713,0.01,59.963,-1.048141
2026-05-06T07:49:03.039337+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,other,,,0.85926,0.29926,0.01,56.963,-1.076999
2026-05-06T07:49:09.038810+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,other,,,0.869996,0.309996,0.01,50.961,-1.126371
2026-05-06T07:49:12.041910+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,other,,,0.877174,0.327174,0.01,47.959,-1.160977
2026-05-06T07:49:15.047623+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,other,,,0.923655,0.353654,0.01,44.953,-1.430091
2026-05-06T07:49:18.048987+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,other,,,0.974005,0.404005,0.01,41.952,-1.943217
2026-05-06T07:49:24.051172+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,risk_limit,,,0.981041,0.391041,0.01,35.951,-2.07575
2026-05-06T07:49:27.049942+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,risk_limit,,,0.986312,0.396312,0.01,32.95,-2.206107
2026-05-06T07:49:30.052182+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,risk_limit,,,0.98958,0.42958,0.01,29.95,-2.310883
2026-05-06T07:49:33.051395+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,risk_limit,,,0.999298,0.519298,0.01,26.949,-3.193997
2026-05-06T07:49:36.056810+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,risk_limit,,,0.999647,0.539647,0.01,23.943,-3.387128
2026-05-06T07:49:39.673638+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,risk_limit,,,0.999929,0.529929,0.02,20.329,-3.804299
2026-05-06T07:49:43.075133+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,risk_limit,,,0.999983,0.579983,0.02,16.925,-4.145762
2026-05-06T07:49:46.371439+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,risk_limit,,,0.999998,0.569998,0.01,13.629,-4.665221
2026-05-06T07:49:49.374466+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,risk_limit,,,1.0,0.57,0.01,10.626,-5.587879
2026-05-06T07:49:52.373904+00:00,market_999fc33be95b,slug_999fc33be95b,DOWN,exposure_gate,risk_limit,,,1.0,0.56,0.01,7.626,-6.0
2026-05-06T07:52:07.287532+00:00,market_6c98da324226,slug_6c98da324226,DOWN,exposure_gate,other,,,0.983676,0.373676,0.01,172.713,-2.136391
